"","Gene_name","Description","log2FC_type2-type1","q-value","sex"
"45","PHKG1","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",1.04913646733893,2.08966780752775e-08,"female"
"46","NFS1","Cysteine desulfurase",1.04779147037519,4.0392506010436e-05,"female"
"47","ALDOC","Fructose-bisphosphate aldolase C",1.0286137927338,0.00157399025941496,"female"
"48","XIRP2","Xin actin-binding repeat-containing protein 2",1.02833873691621,0.00580837129259277,"female"
"49","RPS6KA5","Ribosomal protein S6 kinase alpha-5",1.01775901434811,0.00388632917958511,"female"
"50","PPP3CB","Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform",0.999968282157781,7.27682860109367e-10,"female"
"51","UNC45B","Protein unc-45 homolog B",0.997097444939421,6.49613988172855e-08,"female"
"52","TAPT1","Transmembrane anterior posterior transformation protein 1 homolog",0.994292547557404,0.00580837129259277,"female"
"53","IPO9","Importin-9",0.993701435273559,0.00010068746109017,"female"
"54","TRIM21","E3 ubiquitin-protein ligase TRIM21",0.987005037879399,0.00713906050492015,"female"
"55","SRGAP3","SLIT-ROBO Rho GTPase-activating protein 3",0.975281377663293,9.33164925551897e-05,"female"
"56","THOC2","THO complex subunit 2",0.969954151194734,2.71819925869559e-05,"female"
"57","PHKB","Phosphorylase b kinase regulatory subunit beta",0.969001345365719,8.96350238113478e-08,"female"
"58","PGK1","Phosphoglycerate kinase 1",0.964291294520812,1.77442041797932e-08,"female"
"59","H3-3B","Histone H3.3",0.95773054563066,0.0024749080089326,"female"
"60","PHKA1","Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform",0.952733574690585,1.46272635699818e-08,"female"
"61","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",0.947073491468691,4.96720360388848e-05,"female"
"62","PANX1","Pannexin-1",0.946062755305441,0.0116666283657483,"female"
"63","CDKN1B","Cyclin-dependent kinase inhibitor 1B",0.945992605463466,1.11775276723575e-05,"female"
"64","ENAH","Protein enabled homolog",0.945706179464057,0.00073581112401144,"female"
"65","CCDC25","Coiled-coil domain-containing protein 25",0.938979919006218,7.37845770035222e-05,"female"
"66","LAMP1","Lysosome-associated membrane glycoprotein 1",0.935244877500187,7.75158912256934e-05,"female"
"67","PGK2","Phosphoglycerate kinase 2",0.932300730556245,1.1138496692665e-05,"female"
"68","AKAP12","A-kinase anchor protein 12",0.92979959708858,0.0533417476481804,"female"
"69","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.923751204703642,0.00050460600598273,"female"
"70","BPGM","Bisphosphoglycerate mutase",0.913646607864905,0.00029230598495393,"female"
"71","PYGM","Glycogen phosphorylase, muscle form",0.889012851659309,1.461743891941e-07,"female"
"72","NIBAN1","Protein Niban 1",0.883052574286094,0.00148239782972103,"female"
"73","NMNAT1","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1",0.876138014874696,0.0283142353890417,"female"
"74","FAM114A1","Protein NOXP20",0.874100881404481,0.00657979646041819,"female"
"75","ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase",0.869044800319921,6.29913376569598e-05,"female"
"76","BMS1","Ribosome biogenesis protein BMS1 homolog",0.83663528240878,0.0145858844435516,"female"
"77","APIP","Methylthioribulose-1-phosphate dehydratase",0.827377238006152,3.39716136155273e-05,"female"
"78","CNST","Consortin",0.824777494586264,0.00011215338258609,"female"
"79","DEPTOR","DEP domain-containing mTOR-interacting protein",0.824677866070093,4.80702454379501e-06,"female"
"80","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",0.823040106623971,2.08966780752775e-08,"female"
"81","FRMD8","FERM domain-containing protein 8",0.821696149711064,8.15762649525953e-06,"female"
"82","ENPP4","Bis(5'-adenosyl)-triphosphatase ENPP4",0.802908917958453,0.00533347778921843,"female"
"83","SYNRG","Synergin gamma",0.802301611069392,0.0446284244832847,"female"
"84","FBN1","Fibrillin-1",0.796602024075614,0.0613419981180908,"female"
"85","TRDN","Triadin",0.790989635483159,0.00106614941932068,"female"
"86","JPH1","Junctophilin-1",0.788677853926568,1.37969547499828e-05,"female"
"87","CPSF6","Cleavage and polyadenylation specificity factor subunit 6",0.782884577889464,0.0001668701278431,"female"
"88","UBE2K","Ubiquitin-conjugating enzyme E2 K",0.772478421278805,0.0401599301805654,"female"
"89","AP1B1","AP-1 complex subunit beta-1",0.7708041606272,3.43481044538735e-05,"female"
"90","C4orf54","Uncharacterized protein C4orf54",0.769586007656482,0.0541264523125069,"female"
"91","METTL7A","Putative methyltransferase-like protein 7A",0.752847402471065,8.615113976234e-05,"female"
"92","SLC16A3","Monocarboxylate transporter 4",0.752655788832113,0.00010841138888606,"female"
"93","PYGB","Glycogen phosphorylase, brain form",0.751349885389381,3.52543624174435e-06,"female"
"94","SEPHS2","Selenide, water dikinase 2",0.746478984167272,0.00019931161286203,"female"
"95","SEC13","Protein SEC13 homolog",0.741190321514656,6.46105779475311e-05,"female"
"96","PPT1","Palmitoyl-protein thioesterase 1",0.733262918185627,0.00257031676947342,"female"
"97","HACD1","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1",0.732676409861947,0.00033413999102905,"female"
"98","ABRA","Actin-binding Rho-activating protein",0.725247608046507,0.0135112783127882,"female"
"99","CMBL","Carboxymethylenebutenolidase homolog",0.72024706266301,2.6841696822048e-07,"female"
"100","CASQ1","Calsequestrin-1",0.71840343785896,7.98397928780201e-08,"female"
"101","TIGAR","Fructose-2,6-bisphosphatase TIGAR",0.715642445378084,0.00116075011029565,"female"
"102","KIAA1191","Putative monooxygenase p33MONOX",0.715582739301137,0.00495058398754584,"female"
"103","LRRFIP2","Leucine-rich repeat flightless-interacting protein 2",0.715091382417512,0.00013247741808779,"female"
"104","SUB1","Activated RNA polymerase II transcriptional coactivator p15",0.712300605695065,9.26680522748547e-06,"female"
"105","ENO2","Gamma-enolase",0.711714546671423,0.00018712364477327,"female"
"106","ATP2B2","Plasma membrane calcium-transporting ATPase 2",0.709393194452637,0.00701440332242545,"female"
"107","CROCC","Rootletin",0.708991643090275,0.0343378962423679,"female"
"108","MLEC","Malectin",0.70051586480624,4.60893019401806e-05,"female"
"109","PACSIN3","Protein kinase C and casein kinase substrate in neurons protein 3",0.697905679480462,9.63033012121176e-07,"female"
"110","SNTB1","Beta-1-syntrophin",0.694394224331852,4.80702454379501e-06,"female"
"111","ART3","Ecto-ADP-ribosyltransferase 3",0.686518820022235,0.0001788876998568,"female"
"112","GMPR","GMP reductase 1",0.686348859038498,5.75663078718601e-05,"female"
"113","CACNB1","Voltage-dependent L-type calcium channel subunit beta-1",0.677646248559581,6.78020747632655e-06,"female"
"114","TSTD1","Thiosulfate:glutathione sulfurtransferase",0.674626138432808,0.00253663954683423,"female"
"115","OGN","Mimecan",0.674300154077455,0.0550996824350137,"female"
"116","TMEM182","Transmembrane protein 182",0.669229909572563,0.00226497173796875,"female"
"117","TECR","Very-long-chain enoyl-CoA reductase",0.666906188667427,0.00024673086654899,"female"
"118","PKM","Pyruvate kinase PKM",0.66648669760751,1.1138496692665e-05,"female"
"119","PPP1R27","Protein phosphatase 1 regulatory subunit 27",0.662313753069654,0.00736227882932601,"female"
"120","GAPVD1","GTPase-activating protein and VPS9 domain-containing protein 1",0.660717213996659,0.118387835922777,"female"
"121","CA8","Carbonic anhydrase-related protein",0.656826548218858,0.0237872298961206,"female"
"122","COL1A1","Collagen alpha-1(I) chain",0.650929252799592,0.108024864672864,"female"
"123","GMPPB","Mannose-1-phosphate guanyltransferase beta",0.648985632404623,0.00029230598495393,"female"
"124","MANF","Mesencephalic astrocyte-derived neurotrophic factor",0.6448675344362,0.0119303093752398,"female"
"125","RAPH1","Ras-associated and pleckstrin homology domains-containing protein 1",0.643032727891287,0.00368730044878405,"female"
"126","MT-ND1","NADH-ubiquinone oxidoreductase chain 1",0.640853918423081,0.00776165336759846,"female"
"127","PFKFB1","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",0.640021124562319,1.08841691146276e-05,"female"
"128","LMNB1","Lamin-B1",0.638633357356094,0.00506023592980325,"female"
"129","EIF4EBP1","Eukaryotic translation initiation factor 4E-binding protein 1",0.636908646078462,0.00064539535740108,"female"
"130","TNXB","Tenascin-X",0.623933204890546,0.0271853490430687,"female"
"131","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",0.622569640472536,0.00305062914444055,"female"
"132","LSM3","U6 snRNA-associated Sm-like protein LSm3",0.621327852604962,0.0489378611380182,"female"
"133","TPM1","Tropomyosin alpha-1 chain",0.614936836054365,3.85631898661352e-05,"female"
"134","FAU","FAU ubiquitin-like and ribosomal protein S30",0.61014832256746,0.0137012267002151,"female"
"135","PGAM2","Phosphoglycerate mutase 2",0.606757668498325,4.22881209497401e-06,"female"
"136","ADGRE5","Adhesion G protein-coupled receptor E5",0.603282565153169,0.0189105975573772,"female"
"137","MUSTN1","Musculoskeletal embryonic nuclear protein 1",0.598289929111033,0.0285666006174287,"female"
"138","PAIP1","Polyadenylate-binding protein-interacting protein 1",0.597709588162937,0.00089911505593985,"female"
"139","EARS2","Probable glutamate--tRNA ligase, mitochondrial",0.596110057308421,0.0717791891167905,"female"
"140","HEXB","Beta-hexosaminidase subunit beta",0.59286510012406,0.00218455533914293,"female"
"141","USP19","Ubiquitin carboxyl-terminal hydrolase 19",0.592045294055184,0.0492620520939887,"female"
"142","OAT","Ornithine aminotransferase, mitochondrial",0.590149766049823,0.00922721518584608,"female"
"143","ALDOA","Fructose-bisphosphate aldolase A",0.589886113486546,4.07922446529685e-07,"female"
"144","OSBPL6","Oxysterol-binding protein-related protein 6",0.588273780874552,0.00224754339466728,"female"
"145","GPI","Glucose-6-phosphate isomerase",0.587587720180551,7.57195296733635e-05,"female"
"146","IKBKB","Inhibitor of nuclear factor kappa-B kinase subunit beta",0.587469450586756,0.054600156353508,"female"
"147","GALK1","Galactokinase",0.583675436485862,2.89061390061168e-05,"female"
"148","SERPINA6","Corticosteroid-binding globulin",0.583247171696232,0.0382809590431391,"female"
"149","CNBP","CCHC-type zinc finger nucleic acid binding protein",0.579126568145853,0.00710251666011493,"female"
"150","PCMTD1","Protein-L-isoaspartate O-methyltransferase domain-containing protein 1",0.575260462423209,0.00506105959835142,"female"
"151","AGL","Glycogen debranching enzyme",0.575073839243906,1.2030355639387e-05,"female"
"152","PPP3R1","Calcineurin subunit B type 1",0.572440442039731,0.0002556503286704,"female"
"153","DUSP29","Dual specificity phosphatase 29",0.571127036739167,0.00106872348093866,"female"
"154","RPS19","40S ribosomal protein S19",0.569600369917733,0.00291255874621167,"female"
"155","CISD2","CDGSH iron-sulfur domain-containing protein 2",0.567961346609044,0.0905394488770104,"female"
"156","NAMPT","Nicotinamide phosphoribosyltransferase",0.567907462907741,2.66858468946565e-07,"female"
"157","APOC1","Apolipoprotein C-I",0.567016222190469,0.0329449486715702,"female"
"158","PRRC1","Protein PRRC1",0.566810949896832,0.0102738678461454,"female"
"159","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",0.56590158448147,0.00046095289187349,"female"
"160","PFKL","ATP-dependent 6-phosphofructokinase, liver type",0.561231890962597,0.00602237818809588,"female"
"161","SNAP29","Synaptosomal-associated protein 29",0.560588218842689,0.00251755808642407,"female"
"162","LGALS3BP","Galectin-3-binding protein",0.559520487121562,0.0704602724217808,"female"
"163","GATAD2B","Transcriptional repressor p66-beta",0.555791724622065,3.30952292195598e-05,"female"
"164","EEF2K","Eukaryotic elongation factor 2 kinase",0.553286800067555,0.00011215338258609,"female"
"165","TJP1","Tight junction protein ZO-1",0.552431575868638,0.0140502649224451,"female"
"166","INPP1","Inositol polyphosphate 1-phosphatase",0.551791189276011,0.0214060070852609,"female"
"167","PPP1R3A","Protein phosphatase 1 regulatory subunit 3A",0.550220710815651,0.00046974401259707,"female"
"168","PTGR1","Prostaglandin reductase 1",0.547324867399187,0.00125566103560783,"female"
"169","VAMP5","Vesicle-associated membrane protein 5",0.543479207334332,0.00476273004826855,"female"
"170","DNAJB11","DnaJ homolog subfamily B member 11",0.542444305522277,0.00772503887123338,"female"
"171","CACNA1S","Voltage-dependent L-type calcium channel subunit alpha-1S",0.540766216914722,9.81335696613737e-05,"female"
"172","FBP2","Fructose-1,6-bisphosphatase isozyme 2",0.538632423363666,0.00017621453377425,"female"
"173","SEL1L3","Protein sel-1 homolog 3",0.538536817985008,0.0276303340389131,"female"
"174","TBCC","Tubulin-specific chaperone C",0.538293126656116,0.00043740753273118,"female"
"175","JPT1","Jupiter microtubule associated homolog 1",0.53724696104735,0.00223474922895612,"female"
"176","GLS","Glutaminase kidney isoform, mitochondrial",0.536285476697945,0.0237215353228612,"female"
"177","PPCDC","Phosphopantothenoylcysteine decarboxylase",0.536038671370374,0.0447209901851591,"female"
"178","PGM2L1","Glucose 1,6-bisphosphate synthase",0.535370453313082,0.00017117252063048,"female"
"179","COL18A1","Collagen alpha-1(XVIII) chain",0.533420053932574,0.00080108014523976,"female"
"180","PVALB","Parvalbumin alpha",0.530359746840944,0.123653934681257,"female"
"181","RETREG1","Reticulophagy regulator 1",0.522770894464875,0.00167358108113493,"female"
"182","MCAM","Cell surface glycoprotein MUC18",0.521553910186558,0.0447209901851591,"female"
"183","OSBP","Oxysterol-binding protein 1",0.516619468311086,0.00044735162378765,"female"
"184","SMTNL2","Smoothelin-like protein 2",0.516270161805917,0.00046126390782933,"female"
"185","RPS23","40S ribosomal protein S23",0.511703067188627,0.00450864559266139,"female"
"186","DYNLL2","Dynein light chain 2, cytoplasmic",0.511488187790075,0.00301667509957653,"female"
"187","SQOR","Sulfide:quinone oxidoreductase, mitochondrial",0.511208931964566,0.0627423966199575,"female"
"188","GPC4","Glypican-4",0.511098668667158,0.00738384163099313,"female"
"189","CACNG1","Voltage-dependent calcium channel gamma-1 subunit",0.508553784986582,0.0193309478800444,"female"
"190","FTH1","Ferritin heavy chain",0.50797297004377,0.00845712398172051,"female"
"191","CCAR2","Cell cycle and apoptosis regulator protein 2",0.505552649153808,0.0278338681168818,"female"
"192","LSM2","U6 snRNA-associated Sm-like protein LSm2",0.504698273872648,0.00072674623365962,"female"
"193","ADSL","Adenylosuccinate lyase",0.501284898392738,1.7657073934933e-05,"female"
"194","RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B",0.497646856180227,0.0376808605823377,"female"
"195","PTGES3","Prostaglandin E synthase 3",0.495656343661503,3.69510715141536e-05,"female"
"196","RPS6","40S ribosomal protein S6",0.49541279261285,0.00433586774866746,"female"
"197","PRPS1","Ribose-phosphate pyrophosphokinase 1",0.495214378772229,0.00317320066499325,"female"
"198","COL4A1","Collagen alpha-1(IV) chain",0.494923723824533,0.0632381688276178,"female"
"199","SRSF4","Serine/arginine-rich splicing factor 4",0.494754067816054,0.0495249118520329,"female"
"200","MTPN","Myotrophin",0.491474045313247,0.00506023592980325,"female"
"201","RCN2","Reticulocalbin-2",0.488318594578942,0.00243531640477593,"female"
"202","RPL12","60S ribosomal protein L12",0.487812932674082,0.0464607099700134,"female"
"203","SLC2A1","Solute carrier family 2, facilitated glucose transporter member 1",0.484323755678004,0.0950694994232011,"female"
"204","KIFBP","KIF-binding protein",0.483595301882557,0.0104418958110995,"female"
"205","BANF1","Barrier-to-autointegration factor",0.483288120460708,0.00073581112401144,"female"
"206","ATXN10","Ataxin-10",0.481104061311351,0.00650925815667109,"female"
"207","IGKV3-20","Immunoglobulin kappa variable 3-20",0.480023255347099,0.133659931756274,"female"
"208","PGM1","Phosphoglucomutase-1",0.478519344420175,8.615113976234e-05,"female"
"209","ATIC","Bifunctional purine biosynthesis protein ATIC",0.478401115261295,0.00010068746109017,"female"
"210","DCUN1D1","DCN1-like protein 1",0.47796569814661,0.00010344108868633,"female"
"211","METTL26","Methyltransferase-like 26",0.476292986997912,0.00662707788558903,"female"
"212","AP2S1","AP-2 complex subunit sigma",0.475632722075009,0.0276677155888202,"female"
"213","TRIM63","E3 ubiquitin-protein ligase TRIM63",0.474731112635313,0.0170900771106855,"female"
"214","OSTC","Oligosaccharyltransferase complex subunit OSTC",0.46948797246098,0.0125433935605955,"female"
"215","GMFB","Glia maturation factor beta",0.469205463683512,0.136141811450926,"female"
"216","MYOF","Myoferlin",0.468133562867715,0.0364251971386496,"female"
"217","UTRN","Utrophin",0.467723508804745,0.00431556476785596,"female"
"218","ADA","Adenosine deaminase",0.463283447239208,0.313827737944953,"female"
"219","TNFAIP2","Tumor necrosis factor alpha-induced protein 2",0.463062556261153,0.0214060070852609,"female"
"220","WDR44","WD repeat-containing protein 44",0.462982758586048,0.00304470182201902,"female"
"221","PRR33","Proline-rich protein 33",0.462713603883579,0.00391111324801511,"female"
"222","LUM","Lumican",0.459586102459738,0.101004557716146,"female"
"223","RPS8","40S ribosomal protein S8",0.457378986920023,0.00675405997610173,"female"
"224","POLR2B","DNA-directed RNA polymerase II subunit RPB2",0.454681487939888,0.0496316176658868,"female"
"225","CACNA2D1","Voltage-dependent calcium channel subunit alpha-2/delta-1",0.453961114292152,9.33164925551897e-05,"female"
"226","PLXND1","Plexin-D1",0.451713290524225,0.0712090034295405,"female"
"227","TMEM205","Transmembrane protein 205",0.449826204895535,0.0103580444608244,"female"
"228","PEBP4","Phosphatidylethanolamine-binding protein 4",0.449770964674888,0.0203547260795891,"female"
"229","QDPR","Dihydropteridine reductase",0.448713714419927,0.00237670210744085,"female"
"230","CD99L2","CD99 antigen-like protein 2",0.448363234839011,0.0469299794263166,"female"
"231","SLC44A2","Choline transporter-like protein 2",0.448071076044698,0.0091200118777055,"female"
"232","ALG5","Dolichyl-phosphate beta-glucosyltransferase",0.447781315183235,0.144861018330286,"female"
"233","UFL1","E3 UFM1-protein ligase 1",0.446986989555359,0.00350583231636671,"female"
"234","RYR1","Ryanodine receptor 1",0.444109014031282,5.16992003214458e-05,"female"
"235","SMAD2","Mothers against decapentaplegic homolog 2",0.443868582384779,0.0837457894991142,"female"
"236","DHRS7","Dehydrogenase/reductase SDR family member 7",0.442904854769612,0.00329918058595066,"female"
"237","EIF1AY","Eukaryotic translation initiation factor 1A, Y-chromosomal",0.439610778416077,0.109142055785491,"female"
"238","COL6A6","Collagen alpha-6(VI) chain",0.438960232354011,0.060382613099206,"female"
"239","RPL13","60S ribosomal protein L13",0.437954568319105,0.0042066806306219,"female"
"240","RNF7","RING-box protein 2",0.437611792529081,0.0997696584778224,"female"
"241","MTRR","Methionine synthase reductase",0.436970423770711,0.00583232601874766,"female"
"242","STARD10","START domain-containing protein 10",0.436133758097604,0.033750947597284,"female"
"243","GATC","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",0.435319063986256,0.0112313510028937,"female"
"244","MRC2","C-type mannose receptor 2",0.4342408745661,0.135658042329927,"female"
"245","EGFLAM","Pikachurin",0.433951106866344,0.0743029875938041,"female"
"246","SEPTIN7","Septin-7",0.431734815916029,0.011519413846492,"female"
"247","CD63","CD63 antigen",0.430750707529384,0.0110028685936838,"female"
"248","PMVK","Phosphomevalonate kinase",0.430377210405254,0.00495058398754584,"female"
"249","HSPB8","Heat shock protein beta-8",0.429428328727036,0.0135191960795324,"female"
"250","THBS4","Thrombospondin-4",0.428577201339959,0.0609899964459934,"female"
"251","DAD1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",0.427645417689018,0.0443792843737171,"female"
"252","SET","Protein SET",0.426004847677106,0.07178350123916,"female"
"253","RPL26L1","60S ribosomal protein L26-like 1",0.425454196384875,0.0532431288666195,"female"
"254","PAK1","Serine/threonine-protein kinase PAK 1",0.425072798210708,0.0181471495483354,"female"
"255","MYOZ3","Myozenin-3",0.42206944852405,0.0004408165920427,"female"
"256","RAD23B","UV excision repair protein RAD23 homolog B",0.421977990783036,0.00010841138888606,"female"
"257","DHPS","Deoxyhypusine synthase",0.421058615505931,0.0861312032989493,"female"
"258","PYGL","Glycogen phosphorylase, liver form",0.420354504125561,0.0278338681168818,"female"
"259","GMPS","GMP synthase [glutamine-hydrolyzing]",0.419985770046575,0.0149800056095911,"female"
"260","GPX3","Glutathione peroxidase 3",0.418523890180026,0.012242944666549,"female"
"261","RNF114","E3 ubiquitin-protein ligase RNF114",0.418133302826648,0.0207744213220104,"female"
"262","CTSL","Procathepsin L",0.417823305384385,0.0303837645902689,"female"
"263","EPS15L1","Epidermal growth factor receptor substrate 15-like 1",0.417133252457191,0.121017930652131,"female"
"264","TUBA3C","Tubulin alpha-3C chain",0.417132860334526,0.00562098066713078,"female"
"265","ASPN","Asporin",0.416950779998128,0.183574163029343,"female"
"266","DNPH1","2'-deoxynucleoside 5'-phosphate N-hydrolase 1",0.416231438071355,0.00433586774866746,"female"
"267","PPP3CA","Protein phosphatase 3 catalytic subunit alpha",0.415730823157096,0.00093411618998288,"female"
"268","NOL6","Nucleolar protein 6",0.414769630522255,0.164919393189542,"female"
"269","NUDT3","Diphosphoinositol polyphosphate phosphohydrolase 1",0.413704578658267,0.023528769745158,"female"
"270","ERO1A","ERO1-like protein alpha",0.413289928208036,0.00106614941932068,"female"
"271","PDLIM3","PDZ and LIM domain protein 3",0.412926355449759,0.00692146732611906,"female"
"272","CSTA","Cystatin-A",0.412453297030471,0.124293429316421,"female"
"273","HINT1","Adenosine 5'-monophosphoramidase HINT1",0.41218297099523,0.00086148293704461,"female"
"274","ENY2","Transcription and mRNA export factor ENY2",0.411381132525715,0.0017195751669661,"female"
"275","CPNE1","Copine-1",0.409668230943657,0.00963828717136483,"female"
"276","STX12","Syntaxin-12",0.409221464094804,0.0268698396912795,"female"
"277","LRRFIP1","Leucine-rich repeat flightless-interacting protein 1",0.408017627110564,0.0126214687459337,"female"
"278","CHORDC1","Cysteine and histidine-rich domain-containing protein 1",0.407653933255622,0.00272355529944301,"female"
"279","ANXA5","Annexin A5",0.405488479227843,0.00659654581272283,"female"
"280","POTEI","POTE ankyrin domain family member I",0.404717114956126,0.0209600998681606,"female"
"281","AFM","Afamin",0.40431826384614,0.145268896008666,"female"
"282","ADPRHL1","Inactive ADP-ribosyltransferase ARH2",0.404027090949711,0.00111693792450643,"female"
"283","CDC37","Hsp90 co-chaperone Cdc37",0.40375525201874,0.0346061213772223,"female"
"284","RPL11","60S ribosomal protein L11",0.40035145833235,0.0395937819459442,"female"
"285","COL4A2","Collagen alpha-2(IV) chain",0.40003037647446,0.0632360125330505,"female"
"286","SEPTIN9","Septin-9",0.399678690089319,0.125820233998246,"female"
"287","BGN","Biglycan",0.398202492294027,0.13464738502715,"female"
"288","MFAP5","Microfibrillar-associated protein 5",0.39742634624794,0.0674087533296977,"female"
"289","RPS18","40S ribosomal protein S18",0.395490965587634,0.00350959773347904,"female"
"290","BOLA2B","BolA-like protein 2",0.394984102676926,0.00334926133048827,"female"
"291","SRP14","Signal recognition particle 14 kDa protein",0.394488078378199,0.0345653677860323,"female"
"292","CORO1C","Coronin-1C",0.394282022567113,0.0292245707738695,"female"
"293","PSMD8","26S proteasome non-ATPase regulatory subunit 8",0.393615080059387,0.00016821521897637,"female"
"294","MAGT1","Magnesium transporter protein 1",0.391572542056817,0.0504248387175233,"female"
"295","RUVBL2","RuvB-like 2",0.391084975205247,0.0843690026421378,"female"
"296","GALE","UDP-glucose 4-epimerase",0.390307899292688,0.0944487566340629,"female"
"297","CAB39","Calcium-binding protein 39",0.388746411407217,0.0015763979650108,"female"
"298","TTN","Titin",0.388076538206807,0.121017930652131,"female"
"299","NAPRT","Nicotinate phosphoribosyltransferase",0.387635380675798,0.0585934427668326,"female"
"300","STAT3","Signal transducer and activator of transcription 3",0.384610416031281,0.057734028376602,"female"
